# US Standard Atmosphere 1976 (equations from pdas.com/atmos.html)
Hgeo_ft,H_ft,T_degR,P_lb/ft2,P/P0,pho_slug/ft3,pho/pho0
-2500,-2500.2997,527.586069,2314.56848,1.0937257,0.00255585,1.075242
0,0.0,518.67,2116.224,1.0,0.002377,1.0
2500,2499.7004,509.756069,1931.91552,0.9129069,0.002207926,0.9288706
5000,4998.8016,500.844274,1760.86563,0.832079,0.002048247,0.8616939
7500,7497.3038,491.934614,1602.3277,0.7571636,0.001897591,0.7983135
10000,9995.2074,483.02709,1455.58516,0.6878219,0.001755597,0.7385767
12500,12492.5125,474.121701,1319.95074,0.6237292,0.001621909,0.6823346
15000,14989.2192,465.218444,1194.76581,0.5645744,0.001496183,0.6294415
17500,17485.328,456.317321,1079.39967,0.5100593,0.001378079,0.5797554
20000,19980.8388,447.418329,973.24881,0.4598988,0.001267269,0.533138
22500,22475.752,438.521468,875.73625,0.4138202,0.001163432,0.4894541
25000,24970.0678,429.626738,786.31084,0.3715631,0.001066256,0.4485723
27500,27463.7864,420.734138,704.44659,0.332879,0.000975437,0.4103645
30000,29956.908,411.843666,629.64196,0.2975309,0.000890676,0.3747061
32500,32449.4328,402.955323,561.41922,0.2652929,0.000811688,0.3414758
35000,34941.361,394.069107,499.32378,0.2359503,0.000738191,0.3105556
37500,37432.6929,389.97,443.10026,0.2093825,0.000661957,0.278484
40000,39923.4286,389.97,393.10536,0.1857579,0.000587268,0.2470627
42500,42413.5684,389.97,348.76136,0.1648036,0.000521022,0.219193
45000,44903.1125,389.97,309.42842,0.1462172,0.000462261,0.1944726
47500,47392.0611,389.97,274.53926,0.1297307,0.00041014,0.1725451
50000,49880.4144,389.97,243.59095,0.1151064,0.000363906,0.1530944
52500,52368.1727,389.97,216.13757,0.1021336,0.000322892,0.1358403
55000,54855.3361,389.97,191.78374,0.0906254,0.00028651,0.1205341
57500,57341.9048,389.97,170.17891,0.0804163,0.000254234,0.1069557
60000,59827.8791,389.97,151.01222,0.0713593,0.0002256,0.0949097
62500,62313.2592,389.97,134.00804,0.0633241,0.000200197,0.0842227
65000,64798.0453,389.97,118.92194,0.0561953,0.00017766,0.0747412
67500,67282.2376,390.953441,105.54783,0.0498755,0.000157283,0.0661689
70000,69765.8363,392.420006,93.72003,0.0442864,0.000139136,0.0585343
72500,72248.8416,393.886221,83.25692,0.0393422,0.000123143,0.0518059
75000,74731.2538,395.352085,73.99655,0.0349663,0.00010904,0.045873
77500,77213.0731,396.817599,65.79673,0.0310916,9.6599e-05,0.040639
80000,79694.2996,398.282764,58.53253,0.0276589,8.5618e-05,0.0360193
82500,82174.9336,399.747578,52.09414,0.0246166,7.5921e-05,0.0319398
85000,84654.9753,401.212043,46.38501,0.0219188,6.7354e-05,0.0283357
87500,87134.4249,402.676158,41.32016,0.0195254,5.9781e-05,0.0251499
90000,89613.2827,404.139923,36.82481,0.0174012,5.3084e-05,0.0223325
92500,92091.5487,405.603339,32.8331,0.0155149,4.7159e-05,0.0198399
95000,94569.2233,407.066406,29.28697,0.0138393,4.1915e-05,0.0176335
97500,97046.3067,408.529124,26.13526,0.0123499,3.727e-05,0.0156795
100000,99522.799,409.991492,23.33285,0.0110257,3.3155e-05,0.0139483
102500,101998.7005,411.453512,20.8399,0.0098477,2.9508e-05,0.0124138
