# From Nelson"Flight Stability and Automatic Congtrol
Hgeo_ft,H_ft,T_degR,P_lb/ft3,P/P0,pho_slug/ft3,pho/pho0
-2500,-2500,527.584,2300.5,1.0871,0.002546765,1.0711
0,0,518.67,2116.2,1,0.002377652,1
2500,2500,509.756,1931.9,0.9129,0.002208539,0.9289
5000,4999,500.843,1760.9,0.8321,0.002048877,0.8617
7500,7497,491.933,1602.3,0.7572,0.001898107,0.7983
10000,9995,483.025,1455.6,0.6878,0.001756124,0.7386
12500,12493,474.12,1320,0.6238,0.001622439,0.6824
15000,14989,465.216,1194.8,0.5646,0.00149666,0.6295
17500,17485,456.315,1079.4,0.5101,0.00137848,0.5798
20000,19981,447.415,973.27,0.4599,0.001267668,0.5332
22500,22476,438.518,875.76,0.4138,0.001163805,0.4895
25000,24970,429.623,786.33,0.3716,0.001066596,0.4486
27500,27464,420.73,704.47,0.3329,0.000975757,0.4104
30000,29957,411.839,629.62,0.2975,0.00089091,0.3747
32500,32449,402.95,561.44,0.2653,0.000811961,0.3415
35000,34941,394.064,499.34,0.236,0.000738435,0.3106
37500,37432.5,389.97,443.12,0.2094,0.000662175,0.2785
40000,39923,389.97,393.12,0.1858,0.000587458,0.2471
42500,42413.5,389.97,348.78,0.1648,0.000521198,0.2192
45000,44903,389.97,309.45,0.1462,0.000462426,0.1945
47500,47392.5,389.97,274.56,0.1297,0.000410288,0.1726
50000,49880,389.97,243.61,0.1151,0.000364038,0.1531
52500,52368.5,389.97,216.16,0.1021,0.000323018,0.1359
55000,54855,389.97,191.8,0.0906,0.000286616,0.1205
57500,57341.5,389.97,170.19,0.0804,0.000254323,0.107
60000,59828,389.97,151.03,0.0714,0.000225691,0.0949
62500,62313.5,389.97,134.02,0.0633,0.000200272,0.0842
65000,64798,389.97,118.93,0.0562,0.000177723,0.0747
67500,67282.5,390.8835,105.55,0.0499,0.00015736,0.0662
70000,69766,392.246,93.672,0.0443,0.000139166,0.0585
72500,72249,393.6085,83.134,0.0393,0.000123083,0.0518
75000,74731,394.971,73.784,0.0349,0.000108863,0.0458
77500,77213,396.3325,65.87,0.0311,9.69E-05,0.0407
80000,79694,397.639,58.125,0.0275,8.52E-05,0.0358
82500,82174,399.0545,51.592,0.0244,7.53E-05,0.0317
85000,84655,400.415,45.827,0.0217,6.67E-05,0.0281
87500,87134.5,401.7755,40.757,0.0193,5.91E-05,0.0249
90000,89613,403.135,36.292,0.0171,5.25E-05,0.0221
92500,92091.5,404.854,32.354,0.0153,4.66E-05,0.0196
95000,94569,405.854,28.878,0.0136,4.15E-05,0.0174
97500,97046,407.2135,25.805,0.0122,3.69E-05,0.0155
100000,99523,408.572,23.085,0.0109,3.29E-05,0.0138
102500,102000,409.9305,20.365,0.009623382,2.89E-05,0.012164954
